Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,56.419998,56.419998,55.57,55.830002,101400,55.830002
2010-12-30,56.66,57.02,56.43,56.490002,133400,56.490002
2010-12-29,56.490002,57.490002,56.299999,56.810001,73800,56.810001
2010-12-28,57.450001,57.59,56.27,56.50,59300,56.50
2010-12-27,57.279999,57.52,56.439999,57.25,52100,57.25
2010-12-23,57.439999,57.799999,57.369999,57.59,79400,57.59
2010-12-22,57.240002,57.740002,56.990002,57.450001,128900,57.450001
2010-12-21,57.00,57.330002,56.560001,57.299999,437100,57.299999
2010-12-20,57.00,57.029999,56.450001,56.959999,287000,56.959999
2010-12-17,57.00,57.209999,56.400002,56.799999,258400,56.799999
2010-12-16,56.330002,57.330002,56.049999,56.98,162100,56.98
2010-12-15,56.830002,57.419998,55.77,56.080002,156200,56.080002
2010-12-14,57.66,57.700001,56.66,57.110001,153300,57.110001
2010-12-13,58.91,59.389999,57.119999,57.349998,121700,57.349998
2010-12-10,59.43,59.43,58.16,58.700001,134300,58.700001
2010-12-09,59.689999,59.849998,59.09,59.299999,134900,59.299999
2010-12-08,59.279999,59.98,58.669998,59.029999,178300,59.029999
2010-12-07,58.48,60.049999,57.880001,59.220001,285900,59.220001
2010-12-06,55.459999,58.040001,55.459999,57.669998,182400,57.669998
2010-12-03,54.689999,55.830002,54.689999,55.639999,193600,55.639999
2010-12-02,55.049999,55.880001,55.009998,55.240002,111400,55.240002
2010-12-01,55.41,56.389999,55.060001,55.18,214100,55.18
2010-11-30,53.779999,54.91,53.509998,54.560001,277900,54.560001
2010-11-29,55.27,55.50,53.580002,54.599998,198800,54.599998
2010-11-26,55.400002,56.310001,55.400002,55.849998,24600,55.849998
2010-11-24,55.959999,56.619999,55.299999,56.00,180000,56.00
2010-11-23,56.43,56.43,54.619999,54.889999,167100,54.889999
2010-11-22,56.27,57.490002,54.73,57.450001,349800,57.450001
2010-11-19,57.66,58.00,56.560001,57.73,209300,57.73
2010-11-18,56.130001,57.990002,56.099998,57.630001,190800,57.630001
2010-11-17,55.009998,55.740002,53.869999,55.099998,159000,55.099998
2010-11-16,56.060001,56.299999,54.380001,54.950001,335000,54.950001
2010-11-15,57.779999,58.50,56.290001,56.50,167600,56.50
2010-11-12,59.299999,59.32,57.369999,57.490002,130800,57.490002
2010-11-11,58.419998,59.919998,58.34,59.689999,150100,59.689999
2010-11-10,59.25,60.150002,58.299999,59.279999,136900,59.279999
2010-11-09,62.00,62.00,58.82,59.23,165100,59.23
2010-11-08,61.16,62.00,60.799999,61.029999,244000,61.029999
2010-11-05,60.889999,61.439999,60.50,61.189999,272800,61.189999
2010-11-04,60.00,61.00,59.110001,60.150002,407300,60.150002
2010-11-03,58.73,59.880001,57.950001,59.599998,272200,59.599998
2010-11-02,56.150002,59.029999,55.810001,58.869999,448400,58.869999
2010-11-01,55.959999,57.66,54.200001,55.599998,746000,55.599998
2010-10-29,53.049999,53.490002,51.98,52.259998,247100,52.259998
2010-10-28,55.400002,55.50,52.919998,53.450001,205800,53.450001
2010-10-27,54.849998,55.400002,53.900002,55.259998,184600,55.259998
2010-10-26,54.34,55.509998,53.77,55.049999,147900,55.049999
